ref,title,denomination,address,commune,insee,departement,region,century,protection,latitude,longitude,coord_source,coord_score,coord_label,coord_check,notice_url
ACR0000054,sanatorium de Guébriant-la Clairière village de vacances,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,2030 route Plaine de Joux,Passy,74208,74,Auvergne-Rhône-Alpes,20e siècle,,45.9514535591167,6.73125447162042,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000054
ACR0000055,"sanatorium de Praz-Coutant, actuellement centre médical spécialisé",architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,171 route de Praz Coûtant,Passy,74208,74,Auvergne-Rhône-Alpes,20e siècle,,45.9467064857958,6.719183582088691,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000055
ACR0000059,"""hôpital Georges-Pianta : chapelle, actuellement salle de réunions dite salle de ""La Dent d'Oche""""",architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,3 avenue de la,Thonon-les-Bains,74281,74,Auvergne-Rhône-Alpes,20e siècle,,46.3595943781076,6.4792071406871905,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000059
ACR0000092,hôpital général Lucien-Hussel,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,montée du Docteur-Chapuis,Vienne,38544,38,Auvergne-Rhône-Alpes,20e siècle,,45.534278,4.876527,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000092
ACR0000110,chapelle privée du pensionnat Godefroy-de-Bouillon,architecture religieuse; édifice religieux; édifice religieux chrétien; église,14 rue Godefroy-de-Bouillon,Clermont-Ferrand,63113,63,Auvergne-Rhône-Alpes,20e siècle,,45.7803125748573,3.09285417135578,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000110
ACR0000132,Poste centrale place Antonin Poncet,architecture civile publique; édifice de l'administration ou de la vie publique; bureau de poste,,Lyon 2e Arrondissement,69382,69,Auvergne-Rhône-Alpes,20e siècle,,45.7559467071673,4.83402645601261,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000132
ACR0000135,"immeuble d'infirmières, dit Home des infirmières ou Home Lacassagne",architecture domestique; édifice domestique; demeure; immeuble,,Lyon 3e Arrondissement,69383,69,Auvergne-Rhône-Alpes,20e siècle,,45.7449885064153,4.88973438054995,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000135
ACR0000148,"hôpital dit, clinique Auguste-Lumière, actuellement Direction des Affaires techniques des Hospices civils de Lyon",architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,,Lyon 8e Arrondissement,69388,69,Auvergne-Rhône-Alpes,20e siècle,,45.7429418529351,4.86513815416284,pop,,,no_commune_reference,https://pop.culture.gouv.fr/notice/merimee/ACR0000148
ACR0000339,Chapelle Sainte-Blanche ; Château de Touvent (Etablissement public départemental Blanche de Fontarce),architecture religieuse; édifice religieux; édifice religieux chrétien; église,route de Velles,Châteauroux,36044,36,Centre-Val de Loire,20e siècle,,46.7810756728568,1.69383672025715,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000339
ACR0000570,Centre de transfusion sanguine et de réanimation,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; établissement médical,9 rue Lionnois,Nancy,54395,54,Grand Est,20e siècle,,48.6836083798255,6.19174878123393,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000570
ACR0000579,Chapelle du centre hospitalier régional et universitaire de Nancy-Brabois,architecture religieuse; édifice religieux; édifice religieux chrétien; église,5  ; Brabois rue du Morvan,Vandoeuvre-lès-Nancy,54547,54,Grand Est,20e siècle,,48.6481307601386,6.14507381935593,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000579
ACR0000624,centre hospitalier régional (C.H.R.),architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,2 avenue Oscar-Lambret,Lille,59350,59,Hauts-de-France,20e siècle,,50.6109577918788,3.03467298405422,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000624
ACR0000817,"Maison Roy-Camille, actuellement centre médico-psychologique",architecture domestique; édifice domestique; demeure; maison,; Saint-Jean-de-Dieu (rue) rue du Victor-Hugo,Saint-Pierre,97225,97,Martinique,20e siècle,,14.741172000000002,-61.175936,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000817
ACR0000846,Sanatorium de la Musse,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,1 allée Louis Martin,Saint-Sébastien-de-Morsent,27602,27,Normandie,20e siècle,,49.004452408917686,1.08147108478635,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000846
ACR0000878,Chapelle de l’ancien Grand séminaire,architecture religieuse; édifice religieux; édifice religieux chrétien; église,55 rue Argentrée,Sées,61464,61,Normandie,20e siècle,,48.6072856434374,0.18343859842357,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000878
ACR0000952,Quartier de l'Hôpital,urbanisme et espaces aménagés; secteur urbain; quartier,route de Paris,Brive-la-Gaillarde,19031,19,Nouvelle-Aquitaine,20e siècle,,45.16269,1.532497,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000952
ACR0000974,"rotonde du centre médical A. Leune, à usage de salle à manger du sanatorium",architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,route des Bains,Sainte-Feyre,23193,23,Nouvelle-Aquitaine,20e siècle,,46.1404124414434,1.88705435708063,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000974
ACR0000987,Centre hospitalier Dujarric-de-la-Rivière,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,80 avenue Georges-Pompidou,Périgueux,24322,24,Nouvelle-Aquitaine,20e siècle,,45.194717000000004,0.731689,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0000987
ACR0001035,bibliothèque francophone multimédia,architecture de culture recherche sport ou loisir; édifice et aménagement de culture recherche sport ou loisir; bibliothèque,2 rue Louis-Longequeue,Limoges,87085,87,Nouvelle-Aquitaine,20e siècle,,45.8258390609735,1.2601042031820902,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0001035
ACR0001053,chapelle de l’hôpital Layné,architecture religieuse; édifice religieux; édifice religieux chrétien; église,boulevard Saint-Médard,Mont-de-Marsan,40192,40,Nouvelle-Aquitaine,20e siècle,,43.89568200000001,-0.485955,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0001053
ACR0001137,Château d’eau de l’hôpital Marchant,génie civil; ouvrage d'art; ouvrage lié à l'alimentation en eau; réservoir,134 route d’ Espagne,Toulouse,31555,31,Occitanie,20e siècle,,43.570327,1.424186,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0001137
ACR0001216,centre hospitalier universitaire,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,1 place Alexis-Ricordeau,Nantes,44109,44,Pays de la Loire,20e siècle,,47.2120234704724,-1.55435988232658,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0001216
ACR0001306,clinique Les Cadrans solaires (centre de broncho-pneumologie),architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,11 route Saint-Paul,Vence,06157,06,Provence-Alpes-Côte d'Azur,20e siècle,,43.718068,7.119209,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0001306
ACR0001351,Centre hospitalier Édouard Toulouse,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,118 chemin de Mimet,Marseille 15e Arrondissement,13215,13,Provence-Alpes-Côte d'Azur,20e siècle,,43.381563,5.35843,pop,,,no_commune_reference,https://pop.culture.gouv.fr/notice/merimee/ACR0001351
ACR0001357,Building Canebière,architecture domestique; édifice domestique; demeure; immeuble,73 avenue de la Canebière,Marseille 1er Arrondissement,13201,13,Provence-Alpes-Côte d'Azur,20e siècle,,43.298906,5.382914,pop,,,no_commune_reference,https://pop.culture.gouv.fr/notice/merimee/ACR0001357
ACR0001362,Station sanitaire,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,1bis quai de la Tourette,Marseille 2e Arrondissement,13202,13,Provence-Alpes-Côte d'Azur,20e siècle,,43.302093,5.364707,pop,,,no_commune_reference,https://pop.culture.gouv.fr/notice/merimee/ACR0001362
ACR0001367,Faculté de médecine de La Timone,architecture scolaire; édifice scolaire; édifice d'enseignement supérieur; université,27 boulevard Jean-Moulin,Marseille 5e,13205,13,Provence-Alpes-Côte d'Azur,20e siècle,,43.289028,5.400496,pop,,,no_commune_reference,https://pop.culture.gouv.fr/notice/merimee/ACR0001367
ACR0001399,Hôpital,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,route d'Arles,Tarascon,13108,13,Provence-Alpes-Côte d'Azur,20e siècle,,43.800804,4.665822,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0001399
ACR0001406,ancien sanatorium Grand Hôtel des Neiges,architecture hospitalière d'assistance ou de protection sociale; édifice hospitalier d'assistance ou de protection sociale; édifice hospitalier; hôpital,24 avenue Adrien-Daurelle,Briançon,05023,05,Provence-Alpes-Côte d'Azur,20e siècle,,44.907113,6.633155,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/ACR0001406
